"id","country_id:id","name","code"
state_pl_ds,base.pl,"dolnośląskie","PL-DŚ"
state_pl_kp,base.pl,"kujawsko-pomorskie","PL-KP"
state_pl_lb,base.pl,"lubelskie","PL-LB"
state_pl_ls,base.pl,"lubuskie","PL-LS"
state_pl_ld,base.pl,"łódzkie","PL-ŁD"
state_pl_mp,base.pl,"małopolskie","PL-MP"
state_pl_mz,base.pl,"mazowieckie","PL-MZ"
state_pl_op,base.pl,"opolskie","PL-OP"
state_pl_pk,base.pl,"podkarpackie","PL-PK"
state_pl_pl,base.pl,"podlaskie","PL-PL"
state_pl_pm,base.pl,"pomorskie","PL-PM"
state_pl_sl,base.pl,"śląskie","PL-ŚL"
state_pl_sk,base.pl,"świętokrzyskie","PL-ŚK"
state_pl_wm,base.pl,"warmińsko-mazurskie","PL-WM"
state_pl_wp,base.pl,"wielkopolskie","PL-WP"
state_pl_zp,base.pl,"zachodniopomorskie","PL-ZP"
