"id","code","name","name@pl","account_type","reconcile","tag_ids"
"chart01001","010.01","Land",Grunty,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_A"
"chart01002","010.02","Buildings and structures",Budynki i budowle,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_B"
"chart01003","010.03","Plant and machinery","Urządzenia techniczne i maszyny","asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_C"
"chart01004","010.04","Means of transport",Środki transportu,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_D"
"chart01005","010.05","Other fixed assets",Inne środki trwałe,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_E"
"chart02001","020.01","Completed development work",Zakończone prace rozwojowe,"asset_fixed","False","trilab_pl_reports.Aktywa_A_I_1"
"chart02002","020.02","Goodwill","Wartość firmy","asset_fixed","False","trilab_pl_reports.Aktywa_A_I_2"
"chart02003","020.03","Other intangible assets.","Inne WNiP","asset_fixed","False","trilab_pl_reports.Aktywa_A_I_3"
"chart07101","071.01","Depreciation Land",Umorzenie grunty,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_A"
"chart07102","071.02","Depreciation Buildings and structures",Umorzenie budynki i budowle,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_B"
"chart07103","071.03","Depreciation Technical equipment and machinery",Umorzenie urządzenia techniczne i maszyny,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_C"
"chart07104","071.04","Depreciation Vehicles",Umorzenie środki transportu,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_D"
"chart07105","071.05","Depreciation Other fixed assets",Umorzenie inne środki trwałe,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_1_E"
"chart07201","072.01","Depreciation Development work",Umorzenie prace rozwojowe,"asset_fixed","False","trilab_pl_reports.Aktywa_A_I_1"
"chart07202","072.02","Depreciation Goodwill",Umorzenie wartość firmy,"asset_non_current","False","trilab_pl_reports.Aktywa_A_I_2"
"chart07203","072.03","Depreciation of other intangible assets",Umorzenie inne WNiP,"asset_non_current","False","trilab_pl_reports.Aktywa_A_I_3"
"chart08001","080.01","Fixed assets under construction Purchase",Środki trwałe w budowie zakup,"asset_fixed","False","trilab_pl_reports.Aktywa_A_II_2"
"chart1010101","101.01.01","Cash PLN",Kasa PLN,"asset_cash","False","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart1300101","130.01.01","Current account PLN",Rachunek bieżący PLN,"asset_cash","False","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart1300102","130.01.02","Current - Incoming Payments",Bieżący - przychodzące płatności,"asset_current","True","trilab_pl_reports.Pasywa_B_II_3_E"
"chart1300103","130.01.03","Current - Outgoing payments",Bieżący - wychodzące płatności,"asset_current","True","trilab_pl_reports.Aktywa_B_II_3_C"
"chart13099","130.99","Unreconciled statement items",Nieuzgodnione pozycje wyciągów,"asset_cash","False","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart1310101","131.01.01","VAT account","Rachunek VAT","asset_cash","False","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart1310102","131.01.02","VAT - Incoming Payments",VAT - Przychodzące wpłaty,"asset_current","True","trilab_pl_reports.Pasywa_B_II_3_E"
"chart1310103","131.01.03","VAT - Outgoing payments",VAT - Wychodzące płatności,"asset_current","True","trilab_pl_reports.Aktywa_B_II_3_C"
"chart14901","149.01","Cash in transit","Środki pieniężne w drodze","asset_current","True","trilab_pl_reports.Aktywa_B_III_1_C_2"
"chart20001","200.01","Domestic receivables for deliveries",Krajowe należności za dostawy,"asset_receivable","True","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart20002","200.02","Foreign receivables for deliveries",Zagraniczne należności za dostawy,"asset_receivable","True","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart20501","205.01","Domestic payables for deliveries",Krajowe zobowiązania za dostawy,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_D_1"
"chart20502","205.02","Foreign payables for deliveries","Zagraniczne zobowiązania za dostawy","liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_D_1"
"chart21001","210.01","POS sales receivables",Należności ze sprzedaży PoS,"liability_payable","True","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart22001","220.01","Budgetary settlements Corporate income tax CIT.",Rozrachunki budżetowe Podatek dochodowy od osób prawnych CIT,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22002","220.02","Budgetary settlements Personal income tax PIT 4",Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT4,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22003","220.03","Budget settlements Personal income tax PIT 8",Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT8,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22004","220.04","Budget settlements PFRON",Rozrachunki budżetowe PFRON,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22005","220.05","Budgetary settlements Local taxes.",Rozrachunki budżetowe podatki lokalne,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22006","220.06","Customs settlements","Rozrachunki z urzędem celnym","liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22007","220.07","Settlements with Social Security Office",Rozrachunki z ZUS,"liability_payable","True","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22099","220.99","Budgetary settlements Receivables to the balance sheet",Rozrachunki budżetowe należności do bilansu,asset_receivable,"True","trilab_pl_reports.Aktywa_B_II_3_B"
