"id","sequence","name","name@pl","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_template_1a","1","PL person","PL osoba","True","","base.pl","","",""
"fiscal_position_template_1b","2","PL company","PL firma","True","True","base.pl","","",""
"fiscal_position_template_2a","3","EU","UE","True","True","","base.europe","vat_s_23_towary","ue_s_towary"
"","","","","","","","","vat_s_23_uslugi","ue_s_uslugi"
"","","","","","","","","vat_s_8_towary","ue_s_towary"
"","","","","","","","","vat_s_5_towary","ue_s_towary"
"","","","","","","","","vat_s_0_towary","ue_s_towary"
"","","","","","","","","vat_s_zw_towary","ue_s_towary"
"","","","","","","","","vat_z_23_towary_poz","ue_z_23_towary_poz"
"","","","","","","","","vat_z_23_uslugi_poz","ue_z_23_uslugi_poz"
"","","","","","","","","vat_z_23_towary_st","ue_z_23_towary_st"
"","","","","","","","","vat_z_8_towary_poz","ue_z_8_towary_poz"
"","","","","","","","","vat_z_5_towary_poz","ue_z_5_towary_poz"
"","","","","","","","","vat_z_0_towary_poz","ue_z_0_towary_poz"
"","","","","","","","","vat_z_zw_towary_poz","ue_z_zw_towary_poz"
"fiscal_position_template_3a","4","IM/EX","IM/EX","True","","","","vat_s_23_towary","ex_s_towary"
"","","","","","","","","vat_s_23_uslugi","ex_s_uslugi"
"","","","","","","","","vat_s_8_towary","ex_s_towary"
"","","","","","","","","vat_s_5_towary","ex_s_towary"
"","","","","","","","","vat_s_0_towary","ex_s_towary"
"","","","","","","","","vat_s_zw_towary","ex_s_towary"
"","","","","","","","","vat_z_23_towary_poz","im_z_23_towary_poz"
"","","","","","","","","vat_z_23_uslugi_poz","im_z_23_uslugi_poz"
"","","","","","","","","vat_z_23_towary_st","im_z_23_towary_st"
"","","","","","","","","vat_z_8_towary_poz","im_z_8_towary_poz"
"","","","","","","","","vat_z_5_towary_poz","im_z_5_towary_poz"
"","","","","","","","","vat_z_0_towary_poz","im_z_0_towary_poz"
"","","","","","","","","vat_z_zw_towary_poz","im_z_zw_towary_poz"
