"id","name","name@pl","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","price_include_override","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"vat_z_23_towary_poz","VAT Z 23 T","VAT Z 23 T",,"23%","23.0","percent","purchase","0","tax_group_vat_23",,,,"base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102",
"vat_z_23_uslugi_poz","VAT Z 23 U","VAT Z 23 U",,"23%","23.0","percent","purchase","2","tax_group_vat_23","service","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102",
"vat_z_23_towary_st","VAT Z 23 ST","VAT Z 23 ST",,"23%","23.0","percent","purchase","3","tax_group_vat_23","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_44","chart22102",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_44","chart22102",
"vat_s_23_towary","VAT S 23 T","VAT S 23 T",,"23%","23.0","percent","sale","4","tax_group_vat_23","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_20","chart22101",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_20","chart22101",
"vat_s_23_uslugi","VAT S 23 U","VAT S 23 U",,"23%","23.0","percent","sale","5","tax_group_vat_23","service","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_20","chart22101",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_19",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_20","chart22101",
"vat_z_8_towary_poz","VAT Z 8 T","VAT Z 8 T",,"8%","8","percent","purchase","100","tax_group_vat_8","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102",
"vat_z_5_towary_poz","VAT Z 5 T","VAT Z 5 T",,"5%","5","percent","purchase","101","tax_group_vat_5","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102",
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102",
"vat_z_0_towary_poz","VAT Z 0 T","VAT Z 0 T",,"0%","0","percent","purchase","102","tax_group_vat_0","consu","1",,"base","invoice",,,
,,,,,,,,,,,,,"tax","invoice",,,
,,,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,,,"tax","refund",,,
"vat_z_zw_towary_poz","VAT Z ZW T","VAT Z ZW T",,"ZW","0","percent","purchase","103","tax_group_vat_zw","consu","1",,"base","invoice",,,
,,,,,,,,,,,,,"tax","invoice",,,
,,,,,,,,,,,,,"base","refund",,,
,,,,,,,,,,,,,"tax","refund",,,
"ue_z_23_towary_st","EU Z 23 ST","UE Z 23 ST",,"UEZT","23.0","percent","purchase","104","tax_group_vat_23","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_44","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_43",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_44","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
"ue_z_23_towary_poz","EU Z 23 T","UE Z 23 T",,"UEZT","23","percent","purchase","105","tax_group_vat_23","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
"ue_z_8_towary_poz","EU Z 8 T","UE Z 8 T",,"UEZT","8","percent","purchase","110","tax_group_vat_8","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
"ue_z_5_towary_poz","EU Z 5 T","UE Z 5 T",,"UEZT","5","percent","purchase","111","tax_group_vat_5","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
"ue_z_0_towary_poz","EU Z 0 T","UE Z 0 T",,"UEZT","0","percent","purchase","112","tax_group_vat_0","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
,,,,,,,,,,,,,"base","refund","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","refund","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
"ue_z_zw_towary_poz","EU Z ZW T","UE Z ZW T",,"UEZT","0","percent","purchase","113","tax_group_vat_zw","consu","1",,"base","invoice","trilab_jpk_vat.pl_jpk_K_23||trilab_jpk_vat.pl_jpk_K_45",,
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_46","chart22102","100"
,,,,,,,,,,,,,"tax","invoice","trilab_jpk_vat.pl_jpk_K_24","chart22101","-100"
