"id","name","applicability"
"Aktywa_A_I_1","Aktywa_A_I_1","Accounts"
"Aktywa_A_I_2","Aktywa_A_I_2","Accounts"
"Aktywa_A_I_3","Aktywa_A_I_3","Accounts"
"Aktywa_A_I_4","Aktywa_A_I_4","Accounts"
"Aktywa_A_II_1_A","Aktywa_A_II_1_A","Accounts"
"Aktywa_A_II_1_B","Aktywa_A_II_1_B","Accounts"
"Aktywa_A_II_1_C","Aktywa_A_II_1_C","Accounts"
"Aktywa_A_II_1_D","Aktywa_A_II_1_D","Accounts"
"Aktywa_A_II_1_E","Aktywa_A_II_1_E","Accounts"
"Aktywa_A_II_2","Aktywa_A_II_2","Accounts"
"Aktywa_A_II_3","Aktywa_A_II_3","Accounts"
"Aktywa_A_III_1","Aktywa_A_III_1","Accounts"
"Aktywa_A_III_2","Aktywa_A_III_2","Accounts"
"Aktywa_A_III_3","Aktywa_A_III_3","Accounts"
"Aktywa_A_IV_1","Aktywa_A_IV_1","Accounts"
"Aktywa_A_IV_2","Aktywa_A_IV_2","Accounts"
"Aktywa_A_IV_3_A_1","Aktywa_A_IV_3_A_1","Accounts"
"Aktywa_A_IV_3_A_2","Aktywa_A_IV_3_A_2","Accounts"
"Aktywa_A_IV_3_A_3","Aktywa_A_IV_3_A_3","Accounts"
"Aktywa_A_IV_3_A_4","Aktywa_A_IV_3_A_4","Accounts"
"Aktywa_A_IV_3_B_1","Aktywa_A_IV_3_B_1","Accounts"
"Aktywa_A_IV_3_B_2","Aktywa_A_IV_3_B_2","Accounts"
"Aktywa_A_IV_3_B_3","Aktywa_A_IV_3_B_3","Accounts"
"Aktywa_A_IV_3_B_4","Aktywa_A_IV_3_B_4","Accounts"
"Aktywa_A_IV_3_C_1","Aktywa_A_IV_3_C_1","Accounts"
"Aktywa_A_IV_3_C_2","Aktywa_A_IV_3_C_2","Accounts"
"Aktywa_A_IV_3_C_3","Aktywa_A_IV_3_C_3","Accounts"
"Aktywa_A_IV_3_C_4","Aktywa_A_IV_3_C_4","Accounts"
"Aktywa_A_IV_4","Aktywa_A_IV_4","Accounts"
"Aktywa_A_V_1","Aktywa_A_V_1","Accounts"
"Aktywa_A_V_2","Aktywa_A_V_2","Accounts"
"Aktywa_B_I_1","Aktywa_B_I_1","Accounts"
"Aktywa_B_I_2","Aktywa_B_I_2","Accounts"
"Aktywa_B_I_3","Aktywa_B_I_3","Accounts"
"Aktywa_B_I_4","Aktywa_B_I_4","Accounts"
"Aktywa_B_I_5","Aktywa_B_I_5","Accounts"
"Aktywa_B_II_1_A_1","Aktywa_B_II_1_A_1","Accounts"
"Aktywa_B_II_1_A_2","Aktywa_B_II_1_A_2","Accounts"
"Aktywa_B_II_1_B","Aktywa_B_II_1_B","Accounts"
"Aktywa_B_II_2_A_1","Aktywa_B_II_2_A_1","Accounts"
"Aktywa_B_II_2_A_2","Aktywa_B_II_2_A_2","Accounts"
"Aktywa_B_II_2_B","Aktywa_B_II_2_B","Accounts"
"Aktywa_B_II_3_A_1","Aktywa_B_II_3_A_1","Accounts"
"Aktywa_B_II_3_A_2","Aktywa_B_II_3_A_2","Accounts"
"Aktywa_B_II_3_B","Aktywa_B_II_3_B","Accounts"
"Aktywa_B_II_3_C","Aktywa_B_II_3_C","Accounts"
"Aktywa_B_II_3_D","Aktywa_B_II_3_D","Accounts"
"Aktywa_B_III_1_A_1","Aktywa_B_III_1_A_1","Accounts"
"Aktywa_B_III_1_A_2","Aktywa_B_III_1_A_2","Accounts"
"Aktywa_B_III_1_A_3","Aktywa_B_III_1_A_3","Accounts"
"Aktywa_B_III_1_A_4","Aktywa_B_III_1_A_4","Accounts"
"Aktywa_B_III_1_B_1","Aktywa_B_III_1_B_1","Accounts"
